model_name,accuracy,precision,recall,f1,auc_roc,auc_pr,log_loss,training_time,ci_lower,ci_upper
Logistic Regression,0.6178,0.516359918200409,0.6341034655951783,0.5692064923354373,0.6636710911965259,0.5476361059869972,0.652197064483506,0.24382758140563965,0.655293373049377,0.672580129179494
Random Forest,0.6161,0.5167800985684111,0.5529884480160723,0.5342715030935339,0.6500614513399363,0.5306561150937301,0.6487199399410055,12.322494268417358,0.6410021275487977,0.6619285420759422
Gradient Boosted Trees,0.6289,0.5543086172344689,0.34731290808638876,0.4270495599814729,0.6510308351690284,0.529026402555427,0.638972513618664,46.330605268478394,0.6419448097063436,0.6611805392009404
Support Vector Machine,0.6388,0.5727201257861635,0.36589653440482167,0.4465216058841557,0.6636761822351462,0.5476691875539119,0.6316144789279889,0.3336653709411621,0.65394788172131,0.6749540532096688
